place_id,name,lat,lon,rating,user_ratings_total,address,types
ChIJf3G9N7B1Vo8R5kJl2KAZnxY,Parque Las Américas 112-A,21.08353,-89.6636523,,0,"C. 47-D 962, 97302 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJOUAccGF1Vo8RkshzvgtPaBM,lejitos Park,21.086941,-89.66256299999999,,0,"C. 45 K 935, 97302 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJmbiJJG91Vo8R12b4ZMRsrwU,Mini parque las Américas II,21.0891193,-89.6627788,,0,"C. 45F 932, 97302 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJf5qdBAB1Vo8R50LGFa4gHI4,Triángulo 🌸 Park,21.0917776,-89.6600062,5.0,5,"38RQ+PX, 97302 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJZc3Xag91Vo8RcApnDOoxhXw,LUCES Park,21.0796161,-89.6560037,4.2,30,"C. 100-1, Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","state_park,park,point_of_interest,establishment"
ChIJ8zHJd711Vo8RTVKSmT8hTMM,Parque Calle 53A,21.0771612,-89.6548225,4.3,52,"C. 53-B 802, Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","city_park,park,point_of_interest,establishment"
ChIJ34-ESiZ1Vo8RGy3TnC89dx0,Kz Park,21.0794562,-89.6546656,4.0,3,"Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJjdMkjBl1Vo8RGoP60yrmLSg,GFG Park,21.0824556,-89.6592555,4.6,5,"Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJIx9-6hx1Vo8RTjNr-J6o1sM,Parque calle 100A,21.0802818,-89.65760929999999,4.7,7,"Unnamed Road, Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","city_park,park,point_of_interest,establishment"
ChIJC0lf_fd1Vo8R4R7PqD1FtB4,Parque,21.0854369,-89.6549486,3.6,7,"Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","city_park,park,point_of_interest,establishment"
ChIJB3VIVNF1Vo8RMfynMzlJxRk,Rubicel Vasquez Park,21.080446800000004,-89.6609782,3.3,4,"Fraccionamiento Las Américas 2, 97302 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ43mM4QnhVY8RuMQxhgpYxx4,Parque,21.0979377,-89.7050438,4.0,2,"97303 Cosgaya, Yuc., Mexico","park,point_of_interest,establishment"
ChIJT9A8SM4LVo8Rj-ELCscHN40,"Noc-ac. ""K'íiwik Noc Ac"" Park",21.0800522,-89.71755499999999,4.4,14,"C. 29, 97303 Noc Ac, Yuc., Mexico","park,point_of_interest,establishment"
ChIJy8UJ9NtxVo8RTsXixW6sn8Y,Leona Vicario Park,20.9096548,-89.60132589999999,3.8,174,"C. 25 183, 97137 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJjzM2KpZxVo8RvQec8Fengdk,"Colonia María Luisa. ""K'íiwik Maria Luisa"" Park",20.9352838,-89.6063966,4.4,1500,"C. 21 Manzana y 20 entre Calle 18, María Luisa, 97199 Mérida, Yuc., Mexico","park,tourist_attraction,point_of_interest,establishment"
ChIJ77HwTpNxVo8Rxjk37L_RBRs,San Nicolas del Sur Park,20.9270968,-89.610508,4.4,433,"C. 135 282, Sin Nombre de Col 13, 97289 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJA-cyObpxVo8R6nT0CE6iHDE,SALVADOR ALVARADO SUR Park,20.9332638,-89.5992218,4.5,278,"C. Trigésimo Novena, Salvador Alvarado Sur, 97196 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJFQvDAOtxVo8RMB_aZw864qg,Fracc. del Sur Park,20.9235749,-89.609072,4.4,231,"C. 59, Fraccionamiento del Sur, 97287 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJgd7Gn2hxVo8RmtFI4nK8oBk,Serapio Rendón II Park,20.9290249,-89.615848,4.6,55,"C. 127ᴮ 254, Serapio Rendón, 97285 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJP7Jcs_FxVo8RMu3bbYXCjjU,Jardines del Sur Park,20.9175257,-89.6172548,4.4,31,"Villa Magna del Sur, 97285 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJN6KysZNxVo8RidzC0DnA4oo,"""Ampliación Hacienda"" Park",20.9302474,-89.6129552,4.1,193,"por calle 44 por calle 46, C. 125ᴮ, La Hacienda, 97289 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJeWBMbu1xVo8R8k3YoWerfWo,Ecoarquelógico NU´UKUL T´AAN Park,20.9242755,-89.6150018,4.5,32,"C. 46-B Número 844, Fraccionamiento Villa Magna Del Sur, 97285 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJZS1xa6NxVo8Rk9IZqunsIBQ,EL GALLITO Park,20.9400837,-89.60266639999999,4.3,128,"C. 11 Poniente. 310, Unidad Morelos, 97190 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJrY55pfJxVo8R01I1iVX3_Qc,Serapio Rendón III Park,20.925711,-89.61603749999999,4.1,142,"C. 46ᶜ, Sin Nombre de Col 13, 97285 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJr7t0N7BxVo8RdUvALhMrWA8,Fraccionamiento Kukulcán Park,20.9369798,-89.5950685,4.5,86,"POR 2 SUR, C. 51, Kukulcán, 97198 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJQ6TuZ29xVo8RGk6tb4DfaTY,juegos U.H.M. Park,20.9256021,-89.6057129,3.0,1,"C. 42 200B, Fraccionamiento del Sur, 97287 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJE8Kts-1xVo8R4lpPYQEURT8,Parque villamagna del sur,20.9224545,-89.6135718,4.3,120,"C. 141A 960, Sin Nombre de Col 13, 97285 Mérida, Yuc., Mexico","nature_preserve,park,point_of_interest,establishment"
ChIJR3gstVlwVo8RsYDt3TRP-GE,ACUAPARQUE,20.9477614,-89.5766532,4.3,2732,"Calle 6A, y 27A, San Antonio Kaua II, 97195 Mérida, Yuc., Mexico","tourist_attraction,park,point_of_interest,establishment"
ChIJm9SiOwpxVo8RA0od0Mo2XWs,Parque Azcorra,20.9521444,-89.6028996,4.4,1414,"x 246 y 71-A Calle 24, Azcorra, 97177 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJMcK7qghxVo8ROUCaCJ4kPaI,Miraflores Park,20.9560876,-89.59695789999999,4.6,351,"C. 19 209D, Miraflores, 97179 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJbQpoxldwVo8Rr-joYjBdiQM,PARQUE VERGEL III CTM,20.9489428,-89.57971289999999,4.4,378,"Calle 8-B 27, C. 25ᴰ 172, Vergel ÌII, Vergel Ill, 97173 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJXRHifv9wVo8RDD_5mmHS8zI,Emancipación Park,20.9507205,-89.58497829999999,4.4,813,"C. 10ᶜ, Vergel II, 97173 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJO3rjtgRxVo8RBuj-cgbk5BI,"Cortés Sarmiento. ""K'íiwik Cortés Sarmiento"" Park",20.961565000000004,-89.5931803,4.4,288,"C. 63ᴮ 221, Cortés Sarmiento, 97168 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJtVAkY1FwVo8RIbyaHBqCF4I,San Antonio Kaua II Park,20.942071,-89.5825792,4.3,643,"Por 71 y 73, C. 64ᴬ, San Antonio Kaua II, 97195 Mérida, Yuc., Mexico","park,community_center,event_venue,point_of_interest,service,establishment"
ChIJw2kMOPxwVo8RwrHF76e7NSk,Vergel Park,20.9574634,-89.58475899999999,4.3,279,"Calle 17, Col.Paseos de Vergel, Ricardo Flores Magón, 97173 Mérida, Yuc., Mexico","park,tourist_attraction,point_of_interest,establishment"
ChIJPcidlPhwVo8Rb2lAWrrce8Q,Emancipacion Park,20.9515944,-89.58095829999999,4.2,88,"Entre 21 B Y 21 A, C. 8D, Vergel Ill, 97176 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ3cFyE7JxVo8RHsKmmrYQ-xc,arqueologico Park,20.9372349,-89.5911102,4.5,576,"C. 48 485, Reparto Granjas, 97198 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJreVJ5KdxVo8RNUw2GzE09O4,Morelos Oriente Park,20.9487055,-89.5971533,4.5,133,"Esq Calles 20 y 22, C. 79, Morelos Oriente, 97174 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJBzqzzfdwVo8R2UDPWLKK55o,El Rey Park,20.9508499,-89.5758582,4.4,123,"Entre 6 A y 6 B, C. 21ᴮ, Vergel IV, 97173 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ_7s9rPlwVo8RFYfV8iqObfI,Bodas De Plata Park,20.9535122,-89.580399,4.3,221,"C. 8-B, Vergel Ill, 97176 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJWQnktglxVo8R7BfwBuQMPrA,Parque LA MACARENA,20.9519386,-89.5996839,4.3,87,"Fraccionamiento La Macarena, C. 22 Diag. S/N, Azcorra, 97174 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJK0XeB1dwVo8R0IpcShM4r2I,Acuaparque II,20.9470669,-89.5798353,4.3,78,"C. 29 168, San Antonio Kaua II, 97195 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJK5gwZSpxVo8Rb64gBQYnLrU,Misne II Park,20.9561016,-89.5724796,4.5,236,"Misne II, Misné, 97176 Mérida, Yuc., Mexico","city_park,state_park,park,point_of_interest,establishment"
ChIJ7VnQ2PZwVo8RMNiaffUbDWw,Misne Park,20.95502,-89.57558,4.3,140,"C. 15ᴳ 181, Misné, 97176 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ1zwBS_NwVo8RH7_8NM41HCg,Colonia Benito Juárez Oriente. Park,20.9573681,-89.5687628,4.4,183,"Esq. con calle, C. 25ᶜ 1210, Benito Juárez Oriente, 97178 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
