place_id,name,lat,lon,rating,user_ratings_total,address,types
ChIJsUiBD6YNVo8Rjif_YpqsRTc,Ixbalanque Park,20.9417707,-89.7108366,,0,"Calle 12 c Solana Residencial Tixcacal, 97312 Mérida, Yuc., Mexico","state_park,park,point_of_interest,establishment"
ChIJP_RV6tNyVo8RWpVAOubzpJM,Parque La Joya Diamante,20.9431521,-89.6967957,4.4,57,"Calle 93 46 y 48 Diagonal, 97246 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJSQvtn08NVo8RkbYoMfqKxEE,Colibrí Park. Cluster 2.,20.9416737,-89.7095054,4.5,15,"97312 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJYcPtpOYNVo8Rioc16APDTB0,Tixcacal Park,20.9522273,-89.688789,5.0,2,"C. 32 674, Tixcacal Opichen, Sin Nombre de Col 28, 97249 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJvQk4mClzVo8RhQECDSwaUfA,Parque De FM,20.952738,-89.6945745,4.1,23,"97000 Calle 75 612-616, Tixcacal Opichen, 97249 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJTY2SbAANVo8RI00zKoGCxmM,Parque Solana Cluster 3,20.9380103,-89.70823399999999,3.7,3,"C. 29-A 798, 97312 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ3V1aOgANVo8RzpSksSAOipA,infantil Tixcacal Park,20.943437799999998,-89.7147796,,0,"Calle 21, 97312 Tixcacal, Yuc., Mexico","park,point_of_interest,establishment"
ChIJtQ3kWQANVo8RnqCYTFBi898,Calandria Park,20.939168000000002,-89.7097515,,0,"97312 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJF6XmOABzVo8RTRprE9bsD9M,Patio central,20.9488672,-89.6961062,,0,"C. 77ᶜ 649, Ampliación Tixcacal Opichen, 97249 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ__G7aAANVo8Rh-u39zI8Z5g,Residencial FAISANES Tixcacal,20.944176799999997,-89.7083239,,0,"97312 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJu-zTJABzVo8RIgoBvWx85JI,Área verde,20.953788499999998,-89.6980024,5.0,1,"C. 44, VillaMagna II, 97246 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJq8GLGwANVo8RtNE2gzRjy1I,Parque Cluster 4 Solana Residencial,20.9394852,-89.7109648,5.0,5,"Residencial Solana Calle 27 entre 12-C Tixcacal, 97312 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJq9kr5H5tVo8RnuR_TssgKcM,Lineal Fracc San Marcos sustentable Park,20.898569,-89.66558599999999,4.3,821,"Unnamed Road, C. 100 649, 97295 Mérida, Yucatán, Mexico","park,point_of_interest,establishment"
ChIJIV2K4INtVo8R2BuDEtDfoMw,Metropolitano del Sur Yu'um Tsil Ecological Park,20.8964858,-89.6592211,4.5,304,"x, C. 185 92, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","tourist_attraction,park,point_of_interest,establishment"
ChIJObBg8XptVo8RaYPTKE8HfIY,Parque Santa Cruz Palomeque,20.892926499999998,-89.67054999999999,4.2,455,"Calle 108, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
